zone_code,zone_name,use_case,permission,basis
A,Exclusive Agriculture,solar,conditional,Ch.19.12: non-accessory solar + electric power plant + commercial wind = CUP (19.12.030.G); accessory solar/small wind by-right. BESS/data center by energy/similar-use CUP.
A,Exclusive Agriculture,wind,conditional,Ch.19.12: non-accessory solar + electric power plant + commercial wind = CUP (19.12.030.G); accessory solar/small wind by-right. BESS/data center by energy/similar-use CUP.
A,Exclusive Agriculture,storage,conditional,Ch.19.12: non-accessory solar + electric power plant + commercial wind = CUP (19.12.030.G); accessory solar/small wind by-right. BESS/data center by energy/similar-use CUP.
A,Exclusive Agriculture,data_center,conditional,Ch.19.12: non-accessory solar + electric power plant + commercial wind = CUP (19.12.030.G); accessory solar/small wind by-right. BESS/data center by energy/similar-use CUP.
A-1,Limited Agriculture,solar,conditional,"Ch.19.14.030.G: non-accessory solar, commercial wind, power plant (excl nuclear/coal) = CUP; accessory by-right. Storage/data by analogy = CUP."
A-1,Limited Agriculture,wind,conditional,"Ch.19.14.030.G: non-accessory solar, commercial wind, power plant (excl nuclear/coal) = CUP; accessory by-right. Storage/data by analogy = CUP."
A-1,Limited Agriculture,storage,conditional,"Ch.19.14.030.G: non-accessory solar, commercial wind, power plant (excl nuclear/coal) = CUP; accessory by-right. Storage/data by analogy = CUP."
A-1,Limited Agriculture,data_center,conditional,"Ch.19.14.030.G: non-accessory solar, commercial wind, power plant (excl nuclear/coal) = CUP; accessory by-right. Storage/data by analogy = CUP."
E,Estate,solar,prohibited,Ch.19.16: only accessory solar by-right; commercial/domestic wind = CUP (19.16.030.H). Residential — no utility solar/BESS/data center.
E,Estate,wind,conditional,Ch.19.16: only accessory solar by-right; commercial/domestic wind = CUP (19.16.030.H). Residential — no utility solar/BESS/data center.
E,Estate,storage,prohibited,Ch.19.16: only accessory solar by-right; commercial/domestic wind = CUP (19.16.030.H). Residential — no utility solar/BESS/data center.
E,Estate,data_center,prohibited,Ch.19.16: only accessory solar by-right; commercial/domestic wind = CUP (19.16.030.H). Residential — no utility solar/BESS/data center.
R-1,Low-Density Residential,solar,prohibited,Ch.19.18: accessory solar by-right; commercial/domestic wind = CUP (19.18.030.E). No utility solar/storage/data center.
R-1,Low-Density Residential,wind,conditional,Ch.19.18: accessory solar by-right; commercial/domestic wind = CUP (19.18.030.E). No utility solar/storage/data center.
R-1,Low-Density Residential,storage,prohibited,Ch.19.18: accessory solar by-right; commercial/domestic wind = CUP (19.18.030.E). No utility solar/storage/data center.
R-1,Low-Density Residential,data_center,prohibited,Ch.19.18: accessory solar by-right; commercial/domestic wind = CUP (19.18.030.E). No utility solar/storage/data center.
R-2,Medium-Density Residential,solar,prohibited,Ch.19.20: accessory solar by-right; commercial/domestic wind = CUP (19.20.030.F).
R-2,Medium-Density Residential,wind,conditional,Ch.19.20: accessory solar by-right; commercial/domestic wind = CUP (19.20.030.F).
R-2,Medium-Density Residential,storage,prohibited,Ch.19.20: accessory solar by-right; commercial/domestic wind = CUP (19.20.030.F).
R-2,Medium-Density Residential,data_center,prohibited,Ch.19.20: accessory solar by-right; commercial/domestic wind = CUP (19.20.030.F).
R-3,High-Density Residential,solar,prohibited,Ch.19.22: accessory solar by-right; commercial/domestic wind = CUP (19.22.030.F).
R-3,High-Density Residential,wind,conditional,Ch.19.22: accessory solar by-right; commercial/domestic wind = CUP (19.22.030.F).
R-3,High-Density Residential,storage,prohibited,Ch.19.22: accessory solar by-right; commercial/domestic wind = CUP (19.22.030.F).
R-3,High-Density Residential,data_center,prohibited,Ch.19.22: accessory solar by-right; commercial/domestic wind = CUP (19.22.030.F).
